Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Novembro;RO;189437.0;15.0;599274.0;5766384.0;0.0;695809.0
2000;Novembro;RR;4908.0;0.0;168719.0;1356380.0;0.0;602494.0
2000;Novembro;SC;19309605.0;15758.0;2751444.0;93117948.0;0.0;18203017.0
2000;Novembro;SP;455151686.0;56889.0;99678299.0;1798997045.0;0.0;558420865.0
2000;Novembro;SE;1055592.0;36.0;697487.0;10059491.0;0.0;2744663.0
2000;Novembro;TO;34805.0;0.0;163929.0;3749039.0;0.0;508045.0
2000;Dezembro;AC;784.0;0.0;148587.0;1686861.0;0.0;1092910.0
2000;Dezembro;AL;777384.0;18307.0;901175.0;7598905.0;0.0;5937920.0
2000;Dezembro;AP;15200.0;0.0;688647.0;1708694.0;0.0;531454.0
2000;Dezembro;AM;15752593.0;0.0;853351.0;80824154.0;0.0;21012107.0
2000;Dezembro;BA;20814010.0;177.0;2482408.0;87508343.0;0.0;40222180.0
2000;Dezembro;CE;8231357.0;0.0;2300189.0;42514550.0;0.0;15915555.0
2000;Dezembro;DF;2136412.0;0.0;5121727.0;152326994.0;0.0;781165888.0
2000;Dezembro;ES;66339024.0;0.0;1851757.0;49308169.0;0.0;17196603.0
2000;Dezembro;GO;5722414.0;17923.0;1497834.0;50233626.0;0.0;13952453.0
2000;Dezembro;MA;9544244.0;12.0;532393.0;11992496.0;0.0;3757334.0
2000;Dezembro;MT;236193.0;8316.0;883316.0;16510705.0;0.0;7029782.0
2000;Dezembro;MS;259244.0;25416.0;1226221.0;12762949.0;0.0;6728326.0
2000;Dezembro;MG;39608805.0;63619.0;11058476.0;239260680.0;0.0;118388409.0
2000;Dezembro;PA;1741173.0;3329.0;1401299.0;18701353.0;0.0;10793296.0
2000;Dezembro;PB;1118784.0;0.0;1010300.0;11315911.0;0.0;7321900.0
2000;Dezembro;PR;78551066.0;99927.0;8683971.0;149153858.0;0.0;76276288.0
